continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,days
Asia,Maldives,2020-06-20,2150.0,13.0,8.0,0.0,3977.489,24.05,14.8,,,,,540542,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,172
Africa,Mali,2020-06-20,1923.0,17.0,108.0,1.0,94.959,0.8390000000000001,5.332999999999999,,,,,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,172
Europe,Malta,2020-06-20,663.0,0.0,9.0,0.0,1501.566,0.0,20.383,,,,,441539,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,168.71099999999998,8.83,20.9,30.2,,4.485,82.53,172
Africa,Mauritania,2020-06-20,2223.0,0.0,95.0,0.0,478.099,0.0,20.432000000000002,,,,,4649660,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,172
Africa,Mauritius,2020-06-20,337.0,0.0,10.0,0.0,264.986,0.0,7.8629999999999995,,,,,1271767,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,172
North America,Mexico,2020-06-20,170485.0,5030.0,20394.0,647.0,1322.2779999999998,39.013000000000005,158.175,,,,,128932753,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,172
Europe,Moldova,2020-06-20,13556.0,450.0,450.0,6.0,3360.467,111.553,111.553,,,,80.56,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.50199999999995,5.72,5.9,44.6,86.979,5.8,71.9,172
Europe,Monaco,2020-06-20,99.0,0.0,5.0,0.0,2522.679,0.0,127.40799999999999,,,,,39244,19347.5,,,,,,,5.46,,,,13.8,86.75,172
Asia,Mongolia,2020-06-20,204.0,0.0,0.0,0.0,62.228,0.0,0.0,,,,,3278292,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,172
Europe,Montenegro,2020-06-20,355.0,18.0,9.0,0.0,565.231,28.66,14.33,,,,,628062,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,172
North America,Montserrat,2020-06-20,11.0,0.0,1.0,0.0,2200.44,0.0,200.04,,,,,4999,,,,,,,,,,,,,74.16,172
Africa,Morocco,2020-06-20,9613.0,539.0,213.0,0.0,260.44,14.603,5.771,,,,,36910558,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,172
Africa,Mozambique,2020-06-20,668.0,6.0,4.0,0.0,21.372,0.192,0.128,,,,,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.94199999999995,3.3,5.1,29.1,12.227,0.7,60.85,172
